Word,V.Mean.Sum,V.SD.Sum,A.Mean.Sum,A.SD.Sum,D.Mean.Sum,D.SD.Sum
fragrance,6.07,1.97,4.79,2.545.14,1.91
fraud,2.67,1.66,5.75,2.453.58,2.5
free,8.26,1.31,5.15,3.046.35,2.4
freedom,7.58,2.04,5.52,2.726.76,2.29
freeway,6.07,2,5.87,2.065.5,1.8
freezer,4.96,1.87,4.3,2.274.85,1.68
frenzy,4.97,1.4,6.86,1.834.41,1.97
friend,7.74,1.24,5.74,2.576.74,1.89
friendly,8.43,1.08,5.11,2.965.92,2.42
fries,6.81,1.91,4.97,2.435.97,1.98
fright,3.19,1.41,5.77,1.994.12,1.73
frightened,2.59,1.5,6.9,2.113.21,2.29
frigid,3.5,1.85,4.75,2.564.27,1.98
frog,5.71,1.74,4.54,2.035.34,1.96
frolic,6.64,1.83,5.04,2.55.29,2.09
frosting,7.23,1.59,5.47,1.415.53,1.59
frown,1.87,1.31,4.27,2.243.7,1.58
fruit,6.93,1.82,4.63,2.315.67,2.02
frustrated,2.48,1.64,5.61,2.763.5,2.12
frustration,2.42,1.55,6.19,2.583.62,2.32
fulfilled,7.27,1.8,5.1,2.66.86,1.85
fun,8.37,1.11,7.22,2.016.8,1.85
funeral,1.39,0.87,4.94,3.212.97,2.55
fungus,3.06,1.75,4.68,2.334.06,1.94
funny,8.56,0.85,7,1.866.15,1.92
fur,4.51,1.88,4.18,2.444.32,1.97
furious,1.96,1.43,7.64,2.135.32,2.93
furnace,4.81,1.49,4.81,1.864.97,1.12
furniture,5.93,1.68,4.17,2.425.52,1.45
fury,3.1,1.82,6.82,2.234.29,2.37
fuse,5.45,1.24,4.97,2.015.52,1.35
future,6.71,2.12,6.48,2.234.89,2.56
gadget,5.97,1.48,4.96,1.695.71,1.72
gaiety,6,1.41,4.96,2.035.32,1.63
gain,7.17,1.32,5.63,1.676.37,1.87
galaxy,6.21,1.26,5.96,1.714.29,2.49
gallery,6.03,2.01,4.07,2.414.73,1.87
gallon,5.03,1.47,4.63,1.654.83,1.39
game,6.98,1.97,5.89,2.375.7,1.65
gang,2.59,1.42,6.52,2.493.33,2.45
gangrene,2.28,1.91,5.7,2.963.36,2.34
garbage,2.98,1.96,5.04,2.54.24,2.02
garden,6.71,1.74,4.39,2.356.02,1.71
garlic,5.38,2.29,4.45,2.25.34,1.74
garment,6.07,1.61,4.49,2.55.3,1.96
garter,6.22,1.59,5.47,2.155.82,1.62
gas,4.43,1.77,5.2,1.884.6,2.28
gate,5.52,1.15,4.52,1.924.73,2.16
gem,6.65,1.74,5.71,1.995.35,1.72
gender,5.73,1.55,4.38,2.135.6,1.84
genius,7.39,1.45,6.11,1.836.39,1.99
gentle,7.31,1.3,3.21,2.575.1,2.16
germ,3.35,2,5.62,2.334.58,2.39
germs,2.86,1.39,4.49,2.243.79,1.59
ghost,4.42,1.96,6.19,2.233.55,1.71
gift,7.77,2.24,6.14,2.765.52,2.54
giggle,8.06,1.08,6.25,2.136.31,1.64
giraffe,6.64,1.42,5,2.265.04,1.4
girl,6.87,1.64,4.29,2.695.8,2.16
give,7.13,1.38,5.33,1.886.27,1.82
glacier,5.5,1.25,4.24,2.294.92,2.12
glad,7.77,1.22,5.7,2.176.53,1.5
glamour,6.76,1.6,4.68,2.235.76,2.49
glance,5.53,1.17,5.1,1.795.07,1.56
gland,4.83,1.47,4.18,2.184.79,1.2
glass,4.75,1.38,4.27,2.075,1.46
glasses,5.93,1.48,4.36,1.855.32,1.33
glaze,6.8,1.24,5.1,2.025.3,1.49
glide,6.38,1.32,4.82,2.515.89,2.04
gloat,4.3,2.11,4.52,2.335.41,1.78
gloom,1.88,1.23,3.83,2.333.55,2.07
glory,7.55,1.68,6.02,2.716.85,2.23
gloss,6,1.58,4.71,1.724.89,1.52
gnaw,3.73,1.8,4.4,2.214.57,1.87
goal,7.12,1.31,6.44,1.966.52,2.16
goat,5.26,1.75,4.07,1.845.47,1.8
god,8.15,1.27,5.95,2.845.88,2.89
gold,7.54,1.63,5.76,2.795.85,2.46
golf,4.83,2.63,3.9,2.524.83,2.35
golfer,5.61,1.93,3.73,2.265.55,1.79
good,7.47,1.45,5.43,2.856.41,2.05
goodness,7.41,1.6,4.87,2.456.29,1.47
gorilla,5.56,1.95,5.52,2.424.15,2.6
gossip,3.48,2.33,5.74,2.383.57,2.26
govern,4.5,1.43,4.53,1.414.33,1.73
government,4.28,1.89,5.25,23.62,2.08
grace,7,1.59,4.12,2.125.62,2.02
graduate,8.19,1.13,7.25,2.256.94,2.44
grafitti,4.82,2.11,5.32,1.835.11,2.13
grapes,6.61,2.25,4.67,2.565.4,2.19
grass,6.12,1.44,4.14,2.115.44,1.36
grateful,7.37,0.97,4.58,2.146.18,1.77
grave,2.18,1.54,4.78,2.852.52,1.89
gravy,6,1.74,4.63,1.965.43,1.48
greed,3.51,1.93,4.71,2.264.88,2.03
green,6.18,2.05,4.28,2.464.82,2.05
greet,7,1.52,5.27,2.315.95,2.07
grenade,3.6,1.88,5.7,2.524.29,2.5
greyhound,5.42,1.78,4.39,1.654.81,1.87
grief,1.69,1.04,4.78,2.843.5,2.35
grieve,2.27,1.36,5.6,2.392.9,1.93
grime,3.37,1.34,3.98,2.294.47,1.28
grin,7.4,1.87,5.27,2.646,1.86
grind,5.08,1.92,5.27,2.275.12,1.56
gripe,3.14,1.56,5,2.194.67,1.79
groceries,5.9,1.75,3.77,2.256.23,2.16
groom,6.53,1.8,5.23,2.345.9,1.95
gross,3.57,1.93,4.82,2.344.36,1.89
ground,5.36,0.95,4.14,1.785.14,1.65
grove,5.6,1.28,4.47,1.485.23,0.97
grovel,3.5,1.77,4.46,2.354,2.51
growl,4.11,2.06,5.93,1.95.52,2.74
guaranteed,7.14,1.94,4.93,2.646.39,2.11
guillotine,2.48,2.11,6.56,2.544.64,2.63
guilt,2.14,1.33,5.36,2.952.96,1.83
guilty,2.63,1.98,6.04,2.763.09,2.22
guitar,6.86,1.66,5.82,2.525.29,1.8
gulf,5.9,1.76,4.93,1.735.48,1.6
gun,3.47,2.48,7.02,1.843.53,2.72
guzzle,4.77,1.72,5.23,1.924.77,1.57
gym,6.21,1.87,6.14,1.965.89,1.95
gymnast,6.35,1.79,5.02,2.25.31,1.79
habit,4.11,1.77,3.95,2.114.3,1.79
hair,5.56,1.95,4.48,2.365.41,2.06
hairdryer,4.84,0.84,3.71,1.755.57,1.27
hairpin,5.26,1.45,3.27,2.415.05,1.32
ham,5.31,1.93,4.07,1.944.96,1.32
hamburger,6.27,1.5,4.55,2.145.32,1.21
hammer,4.88,1.16,4.58,2.024.75,1.88
hand,5.95,1.38,4.4,2.075.35,1.49
handicap,3.29,1.69,3.81,2.274,2.24
handicapped,3.23,1.56,4.55,1.893.4,1.85
hands,5.93,1.51,5.21,1.875.74,1.26
handsome,7.93,1.47,5.95,2.735.19,2.22
hang,4.33,2.01,5.4,2.424.33,1.79
haphazard,4.02,1.41,4.07,2.184.29,1.67
happiness,7.96,1.4,6.56,2.216.7,1.64
happy,8.21,1.82,6.49,2.776.63,2.43
harass,2.48,1.18,5.64,2.283.93,2.62
harassment,2.41,1.62,5.75,2.553.16,2.08
hard,5.22,1.82,5.12,2.195.59,1.63
hardship,2.45,1.61,4.76,2.554.22,2.4
harp,6.37,1.61,4.41,2.54.86,1.71
harsh,2.93,1.64,5.6,1.854.83,2.28
harvest,5.74,1.55,4.37,1.795.76,1.5
haste,4.15,1.7,5.04,2.494.19,1.86
hasten,4.9,0.99,4.9,1.954.67,1.52
hat,5.46,1.36,4.1,25.39,1.43
hate,2.12,1.72,6.95,2.565.05,2.95
hatred,1.98,1.92,6.66,2.564.3,2.76
haunt,3.48,1.96,6.6,1.943.72,1.9
haven,6.97,1.92,4,2.385.37,2.09
hawk,5.88,1.62,4.39,2.295.5,1.69
hay,5.24,1.24,3.95,2.585.37,1.64
head,6.63,1.43,5.7,2.26.03,1.56
headache,2.02,1.06,5.07,2.743.6,1.98
headlight,5.24,1.51,3.81,2.224.88,1.47
heal,7.09,1.46,4.77,2.235.79,1.8
health,6.81,1.88,5.13,2.355.83,1.91
heart,7.39,1.53,6.34,2.255.49,2.11
heat,4.3,1.95,5.7,2.024.17,1.86
heaven,7.3,2.39,5.61,3.26.15,2.56
heavy,3.69,1.38,4.58,1.934.1,1.62
heir,6.57,1.55,5.22,1.955.78,1.95
helium,5.29,2.17,4.71,2.554.85,1.96
hell,2.24,1.62,5.38,2.623.24,2.36
helpless,2.2,1.42,5.34,2.522.27,1.83
hen,5.1,0.98,3.79,1.95.1,1.63
herbal,5.92,1.29,3.62,1.975.29,1
herd,5,1.29,4.5,1.84.73,1.74
hero,7.59,1.72,6.41,1.85.9,1.95
heroin,4.36,2.73,5.11,2.724.8,2.54
herring,5.43,1.25,4.37,1.715.2,1.16
hide,4.32,1.91,5.28,2.513.4,2.12
high,6.62,1.98,5.56,2.095.38,1.84
highway,5.92,1.72,5.16,2.445.66,1.81
hiker,5.79,1.74,5,2.164.68,2.29
hill,5.32,1.41,3.75,2.115,1.64
hinder,3.81,1.42,4.12,2.014.21,1.54
hippotamus,6.41,1.62,4.36,2.154.93,1.56
hire,5.77,1.67,5.63,2.044.8,1.79
history,5.24,2.01,3.93,2.294.83,2.08
hit,4.33,2.35,5.73,2.094.88,2.01
hitch,5.03,1.21,4.25,2.175,1.15
hive,3.18,1.52,5.82,2.024.21,1.95
hobby,7.24,1.48,5.36,2.597.24,1.83
hockey,5.39,1.45,5,2.215.18,1.49
holiday,7.55,2.14,6.59,2.736.3,2.17
holy,6.36,1.93,5.36,2.154.68,2.25
home,7.91,1.63,4.21,2.945.9,2.3
homeless,2.06,1.13,4.59,2.283.31,1.99
honest,7.7,1.43,5.32,1.926.24,2.13
honesty,7.88,1.24,5.25,2.456.88,1.5
honey,6.73,1.7,4.51,2.255.44,1.47
honor,7.66,1.24,5.9,1.836.7,2.04
hooker,3.34,2.31,4.93,2.824.73,2.48
hope,7.05,1.96,5.44,2.475.52,2.2
hopeful,7.1,1.46,5.78,2.095.41,1.92
horrible,2.28,1.98,5.75,2.413.04,1.95
horror,2.76,2.25,7.21,2.144.63,2.7
horse,5.89,1.55,3.89,2.174.67,1.6
hose,5.25,1.6,4.82,2.095.36,2.02
hospital,5.04,2.45,5.98,2.544.69,2.16
hostage,2.2,1.8,6.76,2.632.83,2.32
hostile,2.73,1.5,6.44,2.284.85,2.58
hotel,6,1.77,4.8,2.535.12,1.84
hour,5.1,1.23,4.21,1.774.25,1.71
house,7.26,1.72,4.56,2.416.08,2.12
howl,4.9,1.88,5.27,2.484.43,1.87
hub,5.52,1.58,4,2.115.07,1.71
hug,8,1.55,5.35,2.765.79,2.41
huge,5.39,1.97,5.75,2.145.68,2.5
humane,6.89,1.7,4.5,1.915.7,1.91
humble,5.86,1.42,3.74,2.334.76,2.25
humiliate,2.24,1.34,6.14,2.422.6,1.94
humiliation,1.9,1.27,6.97,1.972.2,1.42
humor,8.56,0.81,5.5,2.916.08,2.14
hunger,2.76,1.38,5.36,2.313.93,1.65
hungry,3.58,2.01,5.13,2.444.68,2.05
hunter,4.9,2.4,5.86,2.45.7,2.48
hurl,3.12,1.72,5.4,1.764.36,2.14
hurricane,3.34,2.12,6.83,2.063.07,2.18
hurt,1.9,1.26,5.85,2.493.33,2.22
hydrant,5.02,0.93,3.71,1.755.53,1.3
hymn,6.13,2.08,4.33,2.735.3,1.82
hysterical,5.29,3.31,7.36,2.044.18,2.39
ice,5.92,1.55,4.67,2.285.04,1.4
icebox,4.95,1,4.17,2.115.05,1.05
idea,7,1.34,5.86,1.816.26,2
identity,6.57,1.99,4.95,2.246.4,1.89
idiot,3.16,1.91,4.21,2.473.18,2.13
idol,6.12,1.86,4.95,2.145.37,2.17
ignite,6.16,2.03,6.27,1.875.87,1.76
ignorance,3.07,2.25,4.39,2.494.41,2.38
ignore,3.15,1.96,4.67,2.373.56,2.45
illness,2.48,1.4,4.71,2.243.21,1.85
imagine,7.32,1.52,5.98,2.147.07,1.99
immature,3.39,1.7,4.15,1.964.85,2.2
immoral,3.5,2.16,4.98,2.484.66,2.33
impair,3.18,1.86,4.04,2.144.09,2.18
impart,4.97,1.12,3.86,2.035.45,1.59
impatient,3.63,1.9,5.57,2.474.23,2.25
impede,4.19,1.74,4.9,1.993.9,1.63
impose,3.66,1.59,5.28,1.794.45,2.06
impotent,2.81,1.92,4.57,2.593.43,2.43
impressed,7.33,1.84,5.42,2.655.51,2.21
improve,7.65,1.16,5.69,2.156.08,2.25
incentive,7,1.72,5.69,2.455.93,2.02
incubator,4.17,1.98,4.86,1.944.17,1.93
indict,4.29,1.56,4.93,2.214.36,2.09
indifferent,4.61,1.28,3.18,1.854.84,1.67
industry,5.3,1.61,4.47,2.434.91,2.04
infant,6.95,2.08,5.05,2.665.67,2.48
infatuated,5.77,1.77,6.27,2.094.77,1.9
infatuation,6.73,2.08,7.02,1.874.9,2.28
infect,2.42,1.17,5.38,2.253.42,1.96
infection,1.66,1.34,5.03,2.773.61,2.64
inferior,3.07,1.57,3.83,2.052.78,2.08
infest,2.85,1.41,5.19,1.93.62,1.65
inform,5.92,0.95,4.57,2.115.26,1.66
ingest,5,1.64,5.27,1.745.03,1.85
inhabitant,5.05,1.34,3.95,1.975.37,1.43
inject,3.34,1.74,5.54,2.433.89,2.1
injection,3.03,1.59,6.55,1.83.48,1.81
injure,2.55,1.89,5.53,2.273.86,2.33
injury,2.49,1.76,5.69,2.063.57,1.62
ink,5.05,0.81,3.84,1.884.61,2.13
innocence,6.54,1.95,4.79,2.425.75,2.29
innocent,6.51,1.34,4.21,1.995.28,2.08
insane,2.85,1.94,5.83,2.454.12,2.23
insect,4.07,2.16,4.07,2.464.56,2.47
insecure,2.36,1.33,5.56,2.342.33,1.95
insist,4.64,1.95,5.18,2.24.93,2.02
insolent,4.35,1.76,5.38,2.374.5,2.06
inspire,6.97,1.91,5,2.536.34,2.11
inspired,7.15,1.85,6.02,2.676.67,2.31
instrument,6.68,1.74,5.32,2.485.71,2.03
insult,2.29,1.33,6,2.463.62,2.05
intellect,6.82,1.96,4.75,2.56.3,1.98
intelligence,7.93,1.36,6.21,2.046.25,2.17
intent,5,1.41,4.73,1.664.96,1.71
intercourse,7.36,1.57,7,2.076.4,1.78
interest,6.97,1.54,5.66,2.265.88,1.78
interested,6.58,1.45,5.42,2.375.95,1.68
intimate,7.61,1.51,6.98,2.215.86,2.29
intoxicated,5,2.54,6.19,2.184.28,2.4
intruder,2.77,2.32,6.86,2.414,2.68
invade,3.41,1.66,6,2.424.25,2.68
invader,3.05,2.01,5.5,2.44,2.6
invent,6.73,2.07,6.2,2.046.47,2.26
invest,5.93,2.1,5.12,2.425.88,1.95
iron,4.9,1.02,3.76,2.065.1,1.27
irony,6.17,1.67,4.66,2.214.83,1.79
irritate,3.11,1.67,5.76,2.155.03,2.05
irritated,2.23,1.55,6.13,2.244.37,1.97
island,7.59,1.8,6.14,2.186.21,1.78
isolation,2.17,1.6,4.7,2.672.6,1.65
issue,4.13,1.57,5.4,2.244.63,1.87
item,5.26,0.86,3.24,2.085.26,1.67
ivy,4.11,1.71,5.11,2.114.67,1.84
jaguar,6.62,1.78,5.5,2.274.79,2.15
jail,1.95,1.27,5.49,2.673.81,2.71
jar,5.21,0.56,3.75,2.175.75,1.48
jealous,2.86,1.73,6.48,2.183.72,2.3
jealousy,2.51,1.83,6.36,2.663.8,2.41
jeans,6.43,1.77,4.74,2.495.89,1.67
jelly,5.66,1.44,3.7,2.294.53,1.77
jellyfish,4.76,2.47,6.04,2.24.29,2.05
jeopardy,6.45,1.57,5.18,2.454.93,1.86
jerk,2.86,1.66,5.21,2.254.64,1.93
jet,6.29,1.7,5.89,2.044.89,2.01
jewel,7,1.72,5.38,2.545.59,2.19
job,5.83,2.15,5.2,2.235.7,1.82
joke,8.1,1.36,6.74,1.846.15,1.86
jolly,7.41,1.92,5.57,2.86.39,1.72
journal,5.14,1.49,4.05,1.965.26,1.42
joy,8.6,0.71,7.22,2.136.28,2.15
joyful,8.22,1.22,5.98,2.546.6,1.8
judge,4.53,1.7,5.1,2.023.67,1.9
judgment,4.41,1.78,5.78,1.914.38,2.2
jug,5.24,1.65,3.88,2.155.05,1.62
jugs,5.65,1.98,5.23,2.415,1.6
juice,6.79,1.88,5.69,1.545.66,1.23
jumble,4.41,1.89,5.3,2.354.3,1.98
jungle,5.77,2.05,5.85,1.494.81,1.55
justice,7.78,1.35,5.47,2.546.47,2.26
keg,6.21,2.23,5.37,2.15.33,1.92
kerchief,5.11,1.33,3.43,2.085.25,1.28
kerosene,4.8,1.59,4.34,2.514.63,1.99
ketchup,5.6,1.35,4.09,2.085.29,1.81
kettle,5.22,0.91,3.22,2.235,1.4
key,5.68,1.62,3.7,2.184.98,2.04
kick,4.31,2.18,4.9,2.355.5,1.93
kid,6.42,1.61,5.35,2.066.03,2.14
kidnap,2.62,1.83,6.31,2.433.08,2.59
kidney,4.86,1.92,4.48,2.294.22,1.97
kids,6.91,1.99,5.27,2.365.07,2.03
killer,1.89,1.39,7.86,1.894.54,3.11
kind,7.59,1.67,4.46,2.555.95,1.93
kindness,7.82,1.39,4.3,2.625.67,2.63
king,7.26,1.67,5.51,2.777.38,2.1
kiss,8.26,1.54,7.32,2.036.93,2.28
kitten,6.86,2.13,5.08,2.456.86,2.01
knee,5.03,1.1,4.4,1.675.2,1.37
knife,3.62,2.18,5.8,24.12,2.18
knitting,4.94,2.44,2.88,2.275.41,2
knob,5.14,1.19,4,1.985.29,1.12
knot,4.64,1.36,4.07,2.154.67,1.65
know,6.93,1.72,5.77,1.926.9,2.29
knowledge,7.58,1.32,5.92,2.326.78,2.41
label,4.36,1.08,3.96,1.994.83,1.76
lack,3.21,1.37,4.21,2.474.11,1.97
lad,5.44,1.13,4.06,1.545.28,1.37
ladder,5.06,1.09,4.97,2.125.1,1.45
lake,6.82,1.54,3.95,2.444.9,2.1
lamb,5.89,1.73,3.36,2.184.91,1.96
lame,3.66,1.82,3.69,24.83,1.63
lamp,5.41,1,3.8,2.125.27,1.61
land,5.66,1.42,4.16,2.115.53,1.59
lane,5.39,1.42,4.64,1.795.54,1.2
lantern,5.57,1.19,4.05,2.285.07,1.82
laugh,8.36,1.13,7.39,2.016.64,1.87
laughter,8.45,1.08,6.75,2.56.45,2.45
lava,4.43,2.15,5.57,2.643.54,1.99
lavish,6.21,2.03,4.93,2.45.64,1.61
law,5.1,2.37,4.25,2.434.11,2.08
lawn,5.24,0.86,4,1.795.37,1.11
lawsuit,3.37,2,4.93,2.443.92,2.02
lawyer,5.7,2.27,5.85,2.614.89,2.81
lazy,4.38,2.02,2.65,2.064.07,1.93
leader,7.63,1.59,6.27,2.187.88,1.6
leak,3.07,1.41,4.63,1.963.87,1.68
learn,7.15,1.49,5.39,2.226.34,2.17
lease,4.45,1.36,4.7,1.74.7,1.56
leave,3.83,1.44,4.36,1.914.36,2
leaves,6.07,1.93,3.8,2.444.8,2.06
ledge,4.13,1.31,5.35,1.964.1,1.37
leg,5.71,1.12,4.5,2.125.36,1.66
legend,6.39,1.34,4.88,1.765.54,1.64
legs,5.93,1.36,4.69,2.355.97,1.67
leisurely,6.88,1.81,3.8,2.385.15,1.9
leopard,5.97,1.69,5.57,2.184.57,1.7
leprosy,2.09,1.4,6.29,2.234,2.3
lesbian,4.67,2.45,5.12,2.275.35,2.2
lesson,5.07,1.63,4.04,1.755.04,1.48
letter,6.61,1.59,4.9,2.375.73,1.48
liar,2.41,1.64,6.38,2.473.34,2.42
liberty,7.98,1.22,5.6,2.656.29,2.44
lice,2.31,1.78,5,2.263.95,2.29
lick,6.27,1.51,5.7,2.125.9,1.49
lid,5.03,0.5,3.66,1.885.14,1.62
lie,2.79,1.92,5.96,2.633.3,2.42
life,7.27,1.88,6.02,2.625.72,2.51
lightbulb,5.61,1.28,4.1,2.025.82,1.56
lighthouse,5.89,2.08,4.41,2.445.25,2.02
lightning,4.57,2.66,6.61,1.773.67,2.19
like,7.52,1.72,6.63,2.25.41,2.69
limb,5.03,0.81,4.53,1.535.3,1.12
limber,5.68,1.49,4.57,2.265.34,1.84
limp,3.71,1.88,4.29,1.784.43,2.18
linger,4.44,1.39,4.92,1.635.12,1.69
lion,5.57,1.99,6.2,2.164.12,2.33
lips,7.13,1.5,6.27,1.875.6,2.11
liquor,4.93,2.43,5.66,2.194.86,2.33
listen,5.93,1.16,4.45,1.75.76,1.46
listless,4.12,1.73,4.1,2.314.14,1.73
liter,5,1.74,4.33,2.185.37,1.84
litter,3.96,2.22,4.77,1.954.85,1.76
lively,7.2,1.97,5.53,2.96.09,1.95
lizard,5.23,1.83,5.13,1.574.97,1.5
location,5.36,0.68,4.11,1.835.39,1.34
locker,5.19,1.31,3.38,2.135.36,1.87
loneliness,1.61,1.02,4.56,2.972.51,2.27
lonely,2.17,1.76,4.51,2.682.95,2.12
loosen,5.59,1.76,4.5,2.416.11,2.11
lose,2.81,1.64,4.93,2.423.33,2.17
loser,2.25,1.48,4.95,2.573.02,2.17
loss,1.89,1.25,5.78,2.952.38,2.3
lost,2.82,1.83,5.82,2.622.86,1.64
lotion,5.9,2.04,5.52,2.215.7,1.86
lottery,6.57,2.04,5.36,2.454.81,2.11
loud,4.77,1.73,6.1,1.65.07,1.44
lounge,6.6,1.38,3.97,2.335.9,1.54
louse,2.81,1.92,4.98,2.033.57,2.26
love,8.72,0.7,6.44,3.357.11,2.56
loved,8.64,0.71,6.38,2.686.62,2.53
loving,8.28,0.88,6.21,2.456.29,1.9
lower,4,1.58,4.36,1.914.18,1.63
loyal,7.55,1.9,5.16,2.426.91,2.23
luck,7.41,1.46,6.45,1.734.97,2.37
lucky,8.17,1.06,6.53,2.346.05,2.25
luggage,6.33,1.4,5.7,1.65.23,1.77
lump,4.16,2.34,4.8,2.824.32,2.18
lunch,7.21,1.84,5.43,2.466.1,2.4
lung,5.21,1.32,4.5,1.734.64,1.62
lurk,4.2,1.54,5.73,1.964,1.86
luscious,7.5,1.08,5.34,2.515.68,1.84
lust,7.12,1.62,6.88,1.855.49,2.27
luxury,7.88,1.49,4.75,2.916.4,2.45
machine,5.09,1.67,3.82,2.45.23,2.06
mad,2.44,1.72,6.76,2.265.86,2.2
madman,3.91,2.49,5.56,2.784.79,2.55
madness,4.37,2.19,5.8,2.624.53,2.33
magazine,5.79,1.7,4.82,1.984.93,1.84
maggot,2.06,1.47,5.28,2.964.03,2.09
magical,7.46,1.64,5.95,2.365.73,2.19
magnet,5.31,0.93,4.72,2.025.21,1.63
maid,5.56,1.36,5.2,1.85.72,1.49
mail,6.88,1.74,5.63,2.365.67,1.79
makeup,5.64,2.09,4.48,2.395.59,2.08
malaria,2.4,1.38,4.4,2.543.22,1.9
male,5.84,1.7,4.9,2.75.32,1.68
malice,2.69,1.84,5.86,2.754.74,2.72
malnutrition,2.06,1.27,5.68,2.264,2.13
malt,6.17,1.69,4.83,2.245.38,1.82
man,6.73,1.7,5.24,2.315.53,2.23
mane,5.4,1.38,4.33,2.24.9,1.52
mangle,3.9,2.01,5.44,2.14.61,1.84
maniac,3.76,2,5.39,2.464.22,2.07
manner,5.64,1.34,4.56,1.785.05,1.83
manor,5.61,1.1,4.74,1.685.41,1.19
mansion,7.24,1.99,6.03,2.135.86,1.78
mantel,4.93,1.4,3.27,2.234.95,1.61
manure,3.1,1.74,4.17,2.094.67,1.36
map,5.14,1.64,4.07,1.755.28,2.12
margin,4.79,0.73,3.61,1.874.85,1.03
market,5.66,1.02,4.12,1.835.27,1.4
marrow,4.46,1.5,4.26,1.934.41,1.62
marry,6.68,2.36,6.14,2.765.18,2.54
marsh,4.67,1.44,4.15,2.184.67,1.24
marvel,7.06,1.77,5.2,2.314.93,2.07
mascot,6.29,1.6,5.1,2.615.39,1.93
mask,5.23,1.31,4.58,1.755.42,1.72
massacre,2.28,1.74,5.33,2.633.5,2.26
mastectomy,2.89,1.81,5.11,2.173.75,1.62
masterful,7.09,1.78,5.2,2.857.18,2.56
mastery,6.69,1.61,5.62,1.927.28,1.67
masturbate,5.45,2.02,5.67,2.185.63,2.25
matador,5.1,1.82,5.57,1.934.89,1.45
mate,6.87,1.74,6.3,2.345.48,2.2
material,5.26,1.29,4.05,2.345.12,1.45
math,3.81,2.13,4.62,2.574.44,2.34
me,8.06,1.29,5.97,2.667.88,1.6
meal,7.59,1.43,5.79,1.976.41,1.66
measles,2.74,1.97,5.06,2.444.13,2.16
meat,6.66,1.8,5.41,1.976.03,1.61
meddle,4.07,2,5.1,1.884.87,2
medicine,5.67,2.06,4.4,2.364.7,1.91
meek,3.87,1.69,3.8,2.133.67,2.23
melody,7.07,1.79,4.98,2.525.46,1.78
melt,5.28,1.94,4.93,1.944.86,1.9
member,5.83,1.51,5.03,1.945.3,1.37
memorial,4.68,2.14,4.87,2.384.42,1.57
memories,7.48,1.61,6.1,2.15.88,1.92
memory,6.62,1.5,5.42,2.255.11,2.12
men,6.66,1.7,5.69,2.246.17,2.02
menace,2.88,1.64,5.52,2.454.98,2.25
mend,6.17,1.67,4.93,2.185.82,1.81
menu,6.37,1.71,4.77,2.136,1.78
mercy,5.71,2.41,5.43,2.543.7,2.72
merger,5.06,0.95,4.31,1.645.16,0.95
merry,7.9,1.49,5.9,2.426.64,1.66
messy,3.15,1.73,3.34,2.374.75,2.15
metal,4.95,1.17,3.79,1.965.38,1.4
meteor,5.57,2.16,5.83,2.783.33,1.77
method,5.56,1.76,3.85,2.585.67,1.58
midnight,7.18,1.7,6.5,2.15.96,1.93
mighty,6.54,2.19,5.61,2.387.23,2.11
mildew,3.17,1.36,4.08,1.794.4,1.79
mile,5.24,2.18,4.69,2.125.31,2
military,5.54,1.9,5.35,24.65,2.3
milk,5.95,2.16,3.68,2.575.83,1.5
millionaire,8.03,1.42,6.14,2.76.97,2.4
mind,6.68,1.84,5,2.686.37,2.19
mingle,6.66,1.33,5.88,1.835.97,1.6
miracle,8.6,0.71,7.65,1.675.35,2.58
mischief,5.57,2.05,5.76,1.955.56,1.88
miserable,1.55,1.15,5,2.682.43,1.85
misery,1.93,1.6,5.17,2.692.55,1.45
missiles,3.17,1.81,6.69,1.913.14,2.03
missles,3.33,2.26,5.94,2.213.25,2.31
mistake,2.86,1.79,5.18,2.423.86,2.42
mitten,5.59,1.25,3.78,2.244.63,1.36
mob,3.27,1.66,6.11,2.13.32,2
mobility,6.83,1.79,5,2.186.43,1.48
model,7.1,1.78,6,2.514.86,1.92
modest,5.76,1.28,3.98,2.244.96,2.16
moist,5.52,1.68,4.55,2.385.03,1.43
mold,3.55,1.7,4.07,1.984.33,1.83
molest,1.9,1.35,5.2,2.863.23,2.36
moment,5.76,1.65,3.83,2.294.81,1.92
money,7.59,1.4,5.7,2.666.25,2.33
monk,5.18,1.85,3.39,2.184.89,1.89
monopoly,6.4,1.94,5.24,1.65.7,1.95
month,5.15,1.09,4.03,1.774.85,1.14
mood,5.6,1.38,4.73,1.785.6,1.65
moody,3.2,1.58,4.18,2.384.39,1.71
moon,6.74,1.32,4.6,1.94.8,1.81
moral,6.2,1.85,4.49,2.285.9,2.2
morale,6.57,1.75,5,2.745.75,2.01
morbid,2.87,2.14,5.06,2.684.34,2.5
morgue,1.92,1.32,4.84,2.963.61,1.94
moron,3.77,2.13,5.7,1.584.6,2.24
morsel,5.47,2.32,4.83,2.135.17,2.18
mosquito,2.8,1.91,4.78,2.724.51,2.15
moss,4.59,1.32,3.57,2.034.54,1.35
motel,4.43,2.17,4.93,2.144.32,1.91
moth,4.66,1.59,4,2.195,1.87
mother,8.39,1.15,6.13,2.715.74,2.37
motorcycle,5.72,2.68,6.46,2.195.14,2.21
mountain,6.59,1.66,5.49,2.435.46,2.36
