Word,V.Mean.Sum,V.SD.Sum,A.Mean.Sum,A.SD.Sum,D.Mean.Sum,D.SD.Sum
antisocial,3.21,1.62,5.32,2.12,5.33,2.18
antsy,4.36,1.76,5.23,2.72,3.85,1.84
anus,2.9,1.62,4.39,2.33,4.96,2.31
anvil,5.05,0.94,4.4,2.11,5.38,1.92
anxiety,2.38,1.66,4.78,2.89,3.39,1.94
anxious,3.8,1.42,6.2,2.36,4.15,2.52
anytime,5.81,1.6,4.6,2.46,5.32,2.3
aorta,4.35,1.57,3.64,1.59,4.37,2.54
aortic,4.25,1.37,3.5,2.56,4.58,2.65
apache,5.2,1.51,3.7,2.13,4.95,2.21
apartment,5.72,2.35,3.8,2.76,5.33,2.28
apartments,5,1.73,3.28,1.99,5.18,1.98
